,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
24,Stellar,XLM,$0.1078,"$2,873,773,893",0.46%,2.28%,2.44%,"$76,956,008","713,722,343 XLM","26,677,482,597 XLM",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,https://coinmarketcap.com/currencies/stellar/
25,Toncoin,TON,$2.30,"$2,818,289,698",0.27%,2.69%,9.61%,"$35,951,150","15,607,543 TON","1,221,401,181 TON",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,https://coinmarketcap.com/currencies/toncoin/
26,OKB,OKB,$42.11,"$2,527,033,210",0.42%,1.56%,2.49%,"$18,293,813","434,569 OKB","60,000,000 OKB",https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,https://coinmarketcap.com/currencies/okb/
27,Bitcoin Cash,BCH,$128.79,"$2,492,964,314",0.06%,1.10%,4.24%,"$119,785,486","930,455 BCH","19,356,275 BCH",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,https://coinmarketcap.com/currencies/bitcoin-cash/
28,Filecoin,FIL,$5.76,"$2,371,990,668",0.27%,2.45%,0.17%,"$170,914,976","29,700,715 FIL","412,143,853 FIL",https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,https://coinmarketcap.com/currencies/filecoin/
29,Lido DAO,LDO,$2.68,"$2,319,769,256",0.04%,10.23%,10.34%,"$173,718,290","64,835,281 LDO","864,957,597 LDO",https://s2.coinmarketcap.com/static/img/coins/64x64/8000.png,https://coinmarketcap.com/currencies/lido-dao/
30,Aptos,APT,$11.82,"$2,135,027,493",0.05%,3.49%,1.14%,"$175,208,979","14,821,358 APT","180,462,793 APT",https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,https://coinmarketcap.com/currencies/aptos/
31,Hedera,HBAR,$0.06797,"$2,078,539,314",0.02%,0.37%,11.55%,"$61,488,034","904,627,057 HBAR","30,568,495,828 HBAR",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,https://coinmarketcap.com/currencies/hedera/
32,TrueUSD,TUSD,$1.00,"$2,071,602,302",0.02%,0.00%,0.07%,"$1,075,600,400","1,075,540,330 TUSD","2,070,825,793 TUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png,https://coinmarketcap.com/currencies/trueusd/
33,NEAR Protocol,NEAR,$2.04,"$1,764,767,715",0.13%,4.26%,5.01%,"$81,991,364","40,282,678 NEAR","866,021,029 NEAR",https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,https://coinmarketcap.com/currencies/near-protocol/
34,VeChain,VET,$0.02429,"$1,761,191,591",0.20%,3.07%,4.93%,"$58,596,873","2,412,805,640 VET","72,511,146,418 VET",https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,https://coinmarketcap.com/currencies/vechain/
35,Cronos,CRO,$0.06926,"$1,749,741,708",0.23%,1.62%,1.02%,"$13,031,559","188,124,338 CRO","25,263,013,692 CRO",https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,https://coinmarketcap.com/currencies/cronos/
36,Arbitrum,ARB,$1.27,"$1,626,408,367",0.22%,6.84%,1.52%,"$803,816,046","629,286,012 ARB","1,275,000,000 ARB",https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png,https://coinmarketcap.com/currencies/arbitrum/
37,ApeCoin,APE,$4.33,"$1,595,116,836",0.21%,0.57%,3.35%,"$97,130,418","22,448,006 APE","368,593,750 APE",https://s2.coinmarketcap.com/static/img/coins/64x64/18876.png,https://coinmarketcap.com/currencies/apecoin-ape/
38,Algorand,ALGO,$0.2214,"$1,593,096,206",0.64%,2.77%,2.72%,"$50,714,351","228,890,981 ALGO","7,195,228,145 ALGO",https://s2.coinmarketcap.com/static/img/coins/64x64/4030.png,https://coinmarketcap.com/currencies/algorand/
39,Internet Computer,ICP,$5.09,"$1,518,524,314",0.05%,2.04%,1.34%,"$32,550,502","6,393,713 ICP","298,205,693 ICP",https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,https://coinmarketcap.com/currencies/internet-computer/
40,Quant,QNT,$125.12,"$1,510,585,229",0.02%,0.59%,2.70%,"$18,112,790","144,740 QNT","12,072,738 QNT",https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png,https://coinmarketcap.com/currencies/quant/
41,The Graph,GRT,$0.1527,"$1,358,904,423",0.28%,8.97%,3.26%,"$80,198,168","526,699,590 GRT","8,898,534,924 GRT",https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,https://coinmarketcap.com/currencies/the-graph/
42,Fantom,FTM,$0.4751,"$1,322,978,659",0.11%,5.57%,3.22%,"$208,808,361","440,232,788 FTM","2,784,520,732 FTM",https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,https://coinmarketcap.com/currencies/fantom/
43,EOS,EOS,$1.20,"$1,307,817,707",0.51%,1.48%,5.12%,"$110,756,668","92,103,745 EOS","1,087,337,210 EOS",https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,https://coinmarketcap.com/currencies/eos/
44,Stacks,STX,$0.8872,"$1,214,783,014",0.37%,1.90%,13.61%,"$85,424,632","96,289,192 STX","1,368,985,992 STX",https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,https://coinmarketcap.com/currencies/stacks/
45,Decentraland,MANA,$0.6092,"$1,130,062,133",0.39%,2.32%,1.95%,"$97,667,575","160,348,359 MANA","1,855,084,192 MANA",https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png,https://coinmarketcap.com/currencies/decentraland/
46,Conflux,CFX,$0.4005,"$1,113,377,574",0.45%,8.98%,4.91%,"$325,528,837","811,108,594 CFX","2,780,802,662 CFX",https://s2.coinmarketcap.com/static/img/coins/64x64/7334.png,https://coinmarketcap.com/currencies/conflux-network/
47,Aave,AAVE,$78.91,"$1,112,049,258",0.02%,5.24%,7.96%,"$63,523,019","805,012 AAVE","14,093,193 AAVE",https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,https://coinmarketcap.com/currencies/aave/
