,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
413,SelfKey,KEY,$0.009319,"$49,364,351",0.35%,3.02%,5.97%,"$9,450,493","1,014,126,003 KEY","5,304,969,446 KEY",https://s2.coinmarketcap.com/static/img/coins/64x64/2398.png,https://coinmarketcap.com/currencies/selfkey/
414,Chainge,CHNG,$0.1235,"$49,688,228",0.65%,2.15%,36.44%,"$2,522,969","20,423,181 CHNG","399,854,061 CHNG",https://s2.coinmarketcap.com/static/img/coins/64x64/9071.png,https://coinmarketcap.com/currencies/chainge/
415,IRISnet,IRIS,$0.03386,"$49,355,340",3.91%,8.98%,4.03%,"$3,334,900","98,503,631 IRIS","1,445,156,854 IRIS",https://s2.coinmarketcap.com/static/img/coins/64x64/3874.png,https://coinmarketcap.com/currencies/irisnet/
416,Aavegotchi,GHST,$1.08,"$48,701,988",0.37%,2.11%,0.75%,"$2,234,712","2,070,605 GHST","45,096,312 GHST",https://s2.coinmarketcap.com/static/img/coins/64x64/7046.png,https://coinmarketcap.com/currencies/aavegotchi/
417,Clash of Lilliput,COL,$0.5912,"$48,503,799",0.71%,1.93%,0.38%,"$123,490","208,871 COL","82,024,400 COL",https://s2.coinmarketcap.com/static/img/coins/64x64/20672.png,https://coinmarketcap.com/currencies/clash-of-lilliput/
418,ThunderCore,TT,$0.004757,"$48,398,951",0.60%,4.59%,8.98%,"$2,046,025","430,083,789 TT","10,182,457,825 TT",https://s2.coinmarketcap.com/static/img/coins/64x64/3930.png,https://coinmarketcap.com/currencies/thundercore/
419,Gods Unchained,GODS,$0.231,"$48,297,052",0.18%,3.47%,2.79%,"$2,349,666","10,170,996 GODS","209,191,180 GODS",https://s2.coinmarketcap.com/static/img/coins/64x64/10631.png,https://coinmarketcap.com/currencies/gods-unchained/
420,NvirWorld,NVIR,$0.04835,"$48,089,508",0.01%,1.31%,6.87%,"$1,948,155","40,294,626 NVIR","995,481,137 NVIR",https://s2.coinmarketcap.com/static/img/coins/64x64/15924.png,https://coinmarketcap.com/currencies/nvirworld/
421,Cortex,CTXC,$0.2266,"$47,857,502",0.20%,1.82%,3.45%,"$2,839,998","12,535,775 CTXC","210,504,778 CTXC",https://s2.coinmarketcap.com/static/img/coins/64x64/2638.png,https://coinmarketcap.com/currencies/cortex/
422,Gifto,GFT,$0.04747,"$47,433,122",0.45%,0.85%,8.23%,"$5,801,944","122,229,931 GFT","999,271,532 GFT",https://s2.coinmarketcap.com/static/img/coins/64x64/2289.png,https://coinmarketcap.com/currencies/gifto/
423,Chainbing,CBG,$1.43,"$47,709,608",0.02%,1.77%,1.69%,"$14,654","10,232 CBG","33,000,000 CBG",https://s2.coinmarketcap.com/static/img/coins/64x64/11498.png,https://coinmarketcap.com/currencies/chainbing/
424,Flamingo,FLM,$0.1022,"$47,121,708",0.87%,2.76%,7.07%,"$1,932,760","18,910,098 FLM","462,122,938 FLM",https://s2.coinmarketcap.com/static/img/coins/64x64/7150.png,https://coinmarketcap.com/currencies/flamingo/
425,Efinity Token,EFI,$0.07511,"$46,785,701",0.36%,1.54%,0.33%,"$560,604","7,463,994 EFI","622,041,564 EFI",https://s2.coinmarketcap.com/static/img/coins/64x64/8985.png,https://coinmarketcap.com/currencies/efinity/
426,Wrapped Velas,WVLX,$0.0204,"$46,381,006",0.31%,0.20%,0.61%,"$5,031","246,653 WVLX","2,279,175,680 WVLX",https://s2.coinmarketcap.com/static/img/coins/64x64/19076.png,https://coinmarketcap.com/currencies/wrapped-velas/
427,DeFi Pulse Index,DPI,$82.47,"$46,058,494",0.17%,4.51%,5.94%,"$54,952",666 DPI,"558,983 DPI",https://s2.coinmarketcap.com/static/img/coins/64x64/7055.png,https://coinmarketcap.com/currencies/defi-pulse-index/
428,Raydium,RAY,$0.2437,"$46,145,730",0.89%,2.22%,2.60%,"$3,957,591","16,238,308 RAY","188,678,003 RAY",https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,https://coinmarketcap.com/currencies/raydium/
429,Bloktopia,BLOK,$0.002616,"$45,775,259",0.14%,3.19%,4.45%,"$760,984","290,868,899 BLOK","17,536,640,676 BLOK",https://s2.coinmarketcap.com/static/img/coins/64x64/11206.png,https://coinmarketcap.com/currencies/bloktopia/
430,QuickSwap,QUICK,$88.98,"$45,630,887",0.08%,2.60%,0.70%,"$2,714,720","30,508 QUICK","513,997 QUICK",https://s2.coinmarketcap.com/static/img/coins/64x64/8206.png,https://coinmarketcap.com/currencies/quickswap/
431,Alpaca Finance,ALPACA,$0.2987,"$45,485,523",0.14%,3.15%,3.23%,"$2,619,313","8,769,855 ALPACA","152,333,125 ALPACA",https://s2.coinmarketcap.com/static/img/coins/64x64/8707.png,https://coinmarketcap.com/currencies/alpaca-finance/
432,HUNT,HUNT,$0.4104,"$45,266,027",0.53%,5.18%,8.36%,"$8,938,108","21,780,214 HUNT","110,357,399 HUNT",https://s2.coinmarketcap.com/static/img/coins/64x64/5380.png,https://coinmarketcap.com/currencies/hunt/
433,Phoenix,PHB,$1.14,"$45,172,500",0.40%,2.82%,4.93%,"$9,491,474","8,357,028 PHB","39,768,304 PHB",https://s2.coinmarketcap.com/static/img/coins/64x64/13969.png,https://coinmarketcap.com/currencies/phoenix-global-new/
434,sUSD,SUSD,$1.00,"$45,080,977",0.22%,0.31%,0.01%,"$2,886,239","2,883,714 SUSD","45,049,657 SUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/2927.png,https://coinmarketcap.com/currencies/susd/
435,FirmaChain,"FCT,FCT2",$0.06932,"$44,666,303",0.34%,3.47%,1.04%,"$13,315,497","192,075,555 FCT,FCT2","643,739,812 FCT,FCT2",https://s2.coinmarketcap.com/static/img/coins/64x64/4953.png,https://coinmarketcap.com/currencies/firmachain/
436,WhiteCoin,XWC,$0.05836,"$44,584,230",0.00%,0.21%,5.09%,"$707,810","12,128,883 XWC","764,324,623 XWC",https://s2.coinmarketcap.com/static/img/coins/64x64/268.png,https://coinmarketcap.com/currencies/whitecoin/
437,Enzyme,MLN,$21.86,"$44,600,405",0.09%,2.49%,2.47%,"$1,001,610","45,812 MLN","2,038,518 MLN",https://s2.coinmarketcap.com/static/img/coins/64x64/1552.png,https://coinmarketcap.com/currencies/enzyme/
438,Polkastarter,POLS,$0.448,"$44,409,478",0.21%,0.33%,4.53%,"$2,764,662","6,171,731 POLS","99,221,432 POLS",https://s2.coinmarketcap.com/static/img/coins/64x64/7208.png,https://coinmarketcap.com/currencies/polkastarter/
439,Uquid Coin,UQC,$4.43,"$44,256,252",0.93%,3.86%,0.50%,"$195,444","44,163 UQC","10,000,000 UQC",https://s2.coinmarketcap.com/static/img/coins/64x64/2273.png,https://coinmarketcap.com/currencies/uquid-coin/
440,LTO Network,LTO,$0.1068,"$44,110,525",0.16%,2.76%,1.78%,"$1,396,501","13,075,233 LTO","412,831,160 LTO",https://s2.coinmarketcap.com/static/img/coins/64x64/3714.png,https://coinmarketcap.com/currencies/lto-network/
441,Quickswap[New],QUICK,$0.08303,"$44,038,077",0.03%,1.44%,2.93%,"$1,679,683","20,229,849 QUICK","530,000,000 QUICK",https://s2.coinmarketcap.com/static/img/coins/64x64/19966.png,https://coinmarketcap.com/currencies/quickswap-new/
442,SuperRare,RARE,$0.1225,"$43,991,332",0.19%,1.35%,4.47%,"$1,974,858","16,119,629 RARE","359,147,763 RARE",https://s2.coinmarketcap.com/static/img/coins/64x64/11294.png,https://coinmarketcap.com/currencies/superrare/
443,Litentry,LIT,$1.10,"$43,594,717",0.24%,2.37%,4.20%,"$9,293,606","8,455,653 LIT","39,619,383 LIT",https://s2.coinmarketcap.com/static/img/coins/64x64/6833.png,https://coinmarketcap.com/currencies/litentry/
444,smARTOFGIVING,AOG,$0.5898,"$43,434,483",0.14%,2.36%,6.34%,"$68,805","116,654 AOG","73,780,484 AOG",https://s2.coinmarketcap.com/static/img/coins/64x64/3316.png,https://coinmarketcap.com/currencies/smartofgiving/
445,KLAYswap Protocol,KSP,$0.7876,"$43,189,640",0.53%,1.47%,6.96%,"$479,284","608,514 KSP","54,799,370 KSP",https://s2.coinmarketcap.com/static/img/coins/64x64/8296.png,https://coinmarketcap.com/currencies/klayswap-protocol/
446,DFI.Money,YFII,"$1,105.45","$42,717,391",0.07%,0.78%,0.42%,"$7,413,955","6,707 YFII","38,596 YFII",https://s2.coinmarketcap.com/static/img/coins/64x64/5957.png,https://coinmarketcap.com/currencies/yearn-finance-ii/
447,Sweat Economy,SWEAT,$0.009635,"$42,598,466",0.18%,1.47%,8.11%,"$1,702,110","176,664,833 SWEAT","4,412,827,264 SWEAT",https://s2.coinmarketcap.com/static/img/coins/64x64/21351.png,https://coinmarketcap.com/currencies/sweat-economy/
448,ONUS,ONUS,$0.4364,"$42,241,573",0.30%,3.47%,0.79%,$224,514 ONUS,"97,106,390 ONUS",https://s2.coinmarketcap.com/static/img/coins/64x64/15261.png,https://coinmarketcap.com/currencies/onus/
449,Electroneum,ETN,$0.00232,"$41,701,993",0.07%,0.46%,5.23%,"$19,025","8,200,994 ETN","17,943,008,645 ETN",https://s2.coinmarketcap.com/static/img/coins/64x64/2137.png,https://coinmarketcap.com/currencies/electroneum/
450,Measurable Data Token,MDT,$0.06137,"$41,495,974",1.18%,1.98%,8.04%,"$8,431,747","137,105,002 MDT","676,157,013 MDT",https://s2.coinmarketcap.com/static/img/coins/64x64/2348.png,https://coinmarketcap.com/currencies/measurable-data-token/
451,Verge,XVG,$0.00251,"$41,449,351",0.50%,0.08%,10.23%,"$1,520,607","605,704,221 XVG","16,518,576,975 XVG",https://s2.coinmarketcap.com/static/img/coins/64x64/693.png,https://coinmarketcap.com/currencies/verge/
452,Revain,REV,$0.0004829,"$41,073,089",2.53%,6.75%,1.60%,"$322,999","666,077,962 REV","85,061,485,690 REV",https://s2.coinmarketcap.com/static/img/coins/64x64/2135.png,https://coinmarketcap.com/currencies/revain/
453,Bitcicoin,BITCI,$0.005349,"$41,066,784",0.87%,0.84%,15.68%,"$710,070","132,741,583 BITCI","7,708,828,412 BITCI",https://s2.coinmarketcap.com/static/img/coins/64x64/8357.png,https://coinmarketcap.com/currencies/bitcicoin/
454,Beefy Finance,BIFI,$513.77,"$41,105,208",0.12%,2.56%,2.25%,"$908,810","1,769 BIFI","80,000 BIFI",https://s2.coinmarketcap.com/static/img/coins/64x64/7311.png,https://coinmarketcap.com/currencies/beefy-finance/
455,Hifi Finance,HIFI,$0.4319,"$41,148,547",0.16%,3.91%,5.43%,"$3,284,572","7,605,265 HIFI","95,012,805 HIFI",https://s2.coinmarketcap.com/static/img/coins/64x64/23037.png,https://coinmarketcap.com/currencies/hifi-finance-new/
456,Moss Coin,MOC,$0.108,"$40,983,904",0.05%,7.09%,6.77%,"$17,428,565","161,433,468 MOC","379,623,956 MOC",https://s2.coinmarketcap.com/static/img/coins/64x64/2915.png,https://coinmarketcap.com/currencies/moss-coin/
457,Celo Dollar,CUSD,$0.9964,"$40,649,094",0.07%,0.79%,0.31%,"$1,664,439","1,670,512 CUSD","40,794,719 CUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/7236.png,https://coinmarketcap.com/currencies/celo-dollar/
458,Shiba Predator,QOM,$0.00000006773,"$41,783,449",0.76%,1.58%,1.36%,"$868,059","12,817,400,322,835 QOM","599,886,333,333,333 QOM",https://s2.coinmarketcap.com/static/img/coins/64x64/18919.png,https://coinmarketcap.com/currencies/shiba-predator/
459,Carry,CRE,$0.00462,"$40,621,839",0.01%,3.29%,1.30%,"$3,422,713","740,841,442 CRE","8,790,810,727 CRE",https://s2.coinmarketcap.com/static/img/coins/64x64/3946.png,https://coinmarketcap.com/currencies/carry/
460,Star Atlas DAO,POLIS,$0.2637,"$40,348,405",0.17%,1.48%,1.58%,"$335,770","1,270,484 POLIS","153,005,849 POLIS",https://s2.coinmarketcap.com/static/img/coins/64x64/11213.png,https://coinmarketcap.com/currencies/star-atlas-polis/
461,BakeryToken,BAKE,$0.2089,"$40,429,648",0.54%,2.99%,12.43%,"$15,270,857","73,114,786 BAKE","193,529,260 BAKE",https://s2.coinmarketcap.com/static/img/coins/64x64/7064.png,https://coinmarketcap.com/currencies/bakerytoken/
462,VerusCoin,VRSC,$0.5526,"$40,256,221",0.08%,2.17%,3.58%,"$15,095","27,318 VRSC","72,856,735 VRSC",https://s2.coinmarketcap.com/static/img/coins/64x64/5049.png,https://coinmarketcap.com/currencies/veruscoin/
463,Komodo,KMD,$0.2941,"$39,981,303",0.05%,0.04%,2.99%,"$1,263,415","4,295,454 KMD","135,953,876 KMD",https://s2.coinmarketcap.com/static/img/coins/64x64/1521.png,https://coinmarketcap.com/currencies/komodo/
464,Virtua,TVK,$0.03989,"$40,026,983",0.08%,1.65%,0.30%,"$4,251,389","106,564,778 TVK","1,002,297,559 TVK",https://s2.coinmarketcap.com/static/img/coins/64x64/8037.png,https://coinmarketcap.com/currencies/terra-virtua-kolect/
465,Lyra,LYRA,$0.1148,"$39,891,327",0.08%,5.76%,12.97%,"$455,992","3,971,595 LYRA","347,407,099 LYRA",https://s2.coinmarketcap.com/static/img/coins/64x64/15447.png,https://coinmarketcap.com/currencies/lyra-finance/
466,Telos,TLOS,$0.1474,"$39,806,089",1.59%,0.29%,3.23%,"$2,185,112","14,867,351 TLOS","270,123,444 TLOS",https://s2.coinmarketcap.com/static/img/coins/64x64/4660.png,https://coinmarketcap.com/currencies/telos/
467,NEOPIN,NPT,$1.25,"$38,717,267",0.53%,0.89%,2.91%,"$604,804","484,085 NPT","31,541,429 NPT",https://s2.coinmarketcap.com/static/img/coins/64x64/18966.png,https://coinmarketcap.com/currencies/neopin/
468,Boba Network,BOBA,$0.2296,"$39,408,110",0.25%,3.16%,2.64%,"$1,409,601","6,139,566 BOBA","171,624,232 BOBA",https://s2.coinmarketcap.com/static/img/coins/64x64/14556.png,https://coinmarketcap.com/currencies/boba-network/
469,Zebec Protocol,ZBC,$0.01638,"$38,776,315",0.09%,0.44%,6.34%,"$11,968,204","730,942,136 ZBC","2,367,295,260 ZBC",https://s2.coinmarketcap.com/static/img/coins/64x64/18860.png,https://coinmarketcap.com/currencies/zebec-protocol/
470,DeGate,DG,$0.1782,"$38,683,759",0.00%,0.41%,1.13%,"$123,473","692,746 DG","217,041,086 DG",https://s2.coinmarketcap.com/static/img/coins/64x64/8833.png,https://coinmarketcap.com/currencies/degate/
471,UFO Gaming,UFO,$0.000001498,"$38,572,068",0.01%,2.02%,3.16%,"$660,904","441,357,393,369 UFO","25,757,575,757,576 UFO",https://s2.coinmarketcap.com/static/img/coins/64x64/10729.png,https://coinmarketcap.com/currencies/ufo-gaming/
472,FC Barcelona Fan Token,BAR,$4.04,"$37,990,422",0.10%,0.85%,5.43%,"$3,610,459","894,042 BAR","9,405,307 BAR",https://s2.coinmarketcap.com/static/img/coins/64x64/5225.png,https://coinmarketcap.com/currencies/fc-barcelona-fan-token/
473,Bounce Token,AUCTION,$5.81,"$37,733,350",0.01%,1.59%,2.27%,"$1,922,370","331,495 AUCTION","6,500,000 AUCTION",https://s2.coinmarketcap.com/static/img/coins/64x64/8602.png,https://coinmarketcap.com/currencies/bounce-token/
474,League of Kingdoms Arena,LOKA,$0.5097,"$53,792,171",0.03%,5.28%,2.38%,"$7,125,467","13,983,802 LOKA","105,542,307 LOKA",https://s2.coinmarketcap.com/static/img/coins/64x64/17145.png,https://coinmarketcap.com/currencies/league-of-kingdoms/
475,Presearch,PRE,$0.09327,"$36,987,682",0.14%,3.29%,1.41%,"$316,696","3,356,612 PRE","396,578,435 PRE",https://s2.coinmarketcap.com/static/img/coins/64x64/2245.png,https://coinmarketcap.com/currencies/presearch/
476,DXdao,DXD,$758.27,"$37,367,269",0.01%,5.90%,2.48%,"$9,478",12 DXD,"49,320 DXD",https://s2.coinmarketcap.com/static/img/coins/64x64/5589.png,https://coinmarketcap.com/currencies/dxdao/
477,Velo,VELO,$0.007412,"$36,941,195",2.09%,11.38%,6.24%,"$18,438,507","2,469,747,885 VELO","4,984,154,058 VELO",https://s2.coinmarketcap.com/static/img/coins/64x64/7127.png,https://coinmarketcap.com/currencies/velo/
478,Opulous,OPUL,$0.1635,"$37,201,967",0.30%,10.04%,2.07%,"$1,505,613","9,238,758 OPUL","227,564,107 OPUL",https://s2.coinmarketcap.com/static/img/coins/64x64/10409.png,https://coinmarketcap.com/currencies/opulous/
479,Bytom,BTM,$0.02058,"$36,848,683",0.07%,1.77%,2.76%,"$453,565","22,028,371 BTM","1,790,357,494 BTM",https://s2.coinmarketcap.com/static/img/coins/64x64/1866.png,https://coinmarketcap.com/currencies/bytom/
480,IDEX,IDEX,$0.05461,"$36,797,616",0.35%,2.22%,2.37%,"$5,515,890","101,073,731 IDEX","673,858,614 IDEX",https://s2.coinmarketcap.com/static/img/coins/64x64/3928.png,https://coinmarketcap.com/currencies/idex/
481,Wirex Token,WXT,$0.003669,"$36,688,114",0.11%,2.19%,0.36%,"$283,161","77,237,852 WXT","10,000,000,000 WXT",https://s2.coinmarketcap.com/static/img/coins/64x64/4090.png,https://coinmarketcap.com/currencies/wirex-token/
482,Propy,PRO,$0.4447,"$36,489,089",0.80%,1.65%,3.41%,"$451,686","1,011,524 PRO","82,050,200 PRO",https://s2.coinmarketcap.com/static/img/coins/64x64/1974.png,https://coinmarketcap.com/currencies/propy/
483,Groestlcoin,GRS,$0.4457,"$36,672,289",0.74%,5.36%,7.41%,"$35,626,413","80,330,042 GRS","82,277,954 GRS",https://s2.coinmarketcap.com/static/img/coins/64x64/258.png,https://coinmarketcap.com/currencies/groestlcoin/
484,Alchemix,ALCX,$20.74,"$35,713,563",0.20%,1.82%,1.19%,"$2,873,601","138,723 ALCX","1,724,720 ALCX",https://s2.coinmarketcap.com/static/img/coins/64x64/8613.png,https://coinmarketcap.com/currencies/alchemix/
485,SingularityDAO,SDAO,$0.6277,"$35,591,346",0.37%,6.81%,1.49%,"$1,771,834","2,821,492 SDAO","56,719,692 SDAO",https://s2.coinmarketcap.com/static/img/coins/64x64/9638.png,https://coinmarketcap.com/currencies/singularitydao/
486,Aurora,AURORA,$0.2034,"$35,608,362",0.80%,8.03%,12.02%,"$809,662","3,983,114 AURORA","175,059,370 AURORA",https://s2.coinmarketcap.com/static/img/coins/64x64/14803.png,https://coinmarketcap.com/currencies/aurora-near/
487,Adshares,ADS,$0.9156,"$35,482,989",0.13%,1.72%,2.65%,"$418,798","456,371 ADS","38,751,824 ADS",https://s2.coinmarketcap.com/static/img/coins/64x64/1883.png,https://coinmarketcap.com/currencies/adshares/
488,StaFi,FIS,$0.5828,"$35,229,577",2.41%,8.93%,5.76%,"$11,047,206","18,943,687 FIS","60,452,000 FIS",https://s2.coinmarketcap.com/static/img/coins/64x64/5882.png,https://coinmarketcap.com/currencies/stafi/
489,Adventure Gold,AGLD,$0.4962,"$34,820,563",1.20%,21.99%,21.92%,"$45,255,481","90,244,577 AGLD","70,170,001 AGLD",https://s2.coinmarketcap.com/static/img/coins/64x64/11568.png,https://coinmarketcap.com/currencies/adventure-gold/
490,e-Radix,EXRD,$0.04733,"$34,776,425",0.03%,9.43%,14.90%,"$174,875","3,673,651 EXRD","734,834,633 EXRD",https://s2.coinmarketcap.com/static/img/coins/64x64/7692.png,https://coinmarketcap.com/currencies/radix/
491,SONM (BEP-20),SNM,$0.7865,"$34,855,556",0.35%,3.61%,7.51%,"$23,582,584","29,982,956 SNM","44,400,000 SNM",https://s2.coinmarketcap.com/static/img/coins/64x64/9931.png,https://coinmarketcap.com/currencies/sonm-bep20/
492,Origin Dollar,OUSD,$0.9991,"$34,862,834",0.03%,0.01%,0.08%,"$1,181,154","1,181,906 OUSD","34,895,512 OUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/7189.png,https://coinmarketcap.com/currencies/origin-dollar/
493,DIA,DIA,$0.3695,"$34,840,407",0.01%,2.89%,2.34%,"$1,865,532","5,054,047 DIA","94,287,049 DIA",https://s2.coinmarketcap.com/static/img/coins/64x64/6138.png,https://coinmarketcap.com/currencies/dia/
494,Alpha Quark Token,AQT,$1.30,"$34,623,787",0.01%,4.60%,7.98%,"$2,906,098","2,235,417 AQT","26,640,784 AQT",https://s2.coinmarketcap.com/static/img/coins/64x64/7460.png,https://coinmarketcap.com/currencies/alpha-quark-token/
495,Akash Network,AKT,$0.3056,"$34,797,097",0.02%,1.83%,1.39%,"$1,265,224","4,166,338 AKT","113,861,304 AKT",https://s2.coinmarketcap.com/static/img/coins/64x64/7431.png,https://coinmarketcap.com/currencies/akash-network/
496,BitShares,BTS,$0.01142,"$34,208,104",0.03%,0.01%,0.08%,"$409,548","35,606,736 BTS","2,994,900,425 BTS",https://s2.coinmarketcap.com/static/img/coins/64x64/463.png,https://coinmarketcap.com/currencies/bitshares/
497,RAMP,RAMP,$0.07189,"$34,352,809",0.64%,0.61%,8.19%,"$32,796","455,168 RAMP","477,838,740 RAMP",https://s2.coinmarketcap.com/static/img/coins/64x64/7463.png,https://coinmarketcap.com/currencies/ramp/
498,Euro Coin,EUROC,$1.10,"$34,262,068",0.09%,0.61%,1.42%,"$2,149,071","1,950,819 EUROC","31,150,654 EUROC",https://s2.coinmarketcap.com/static/img/coins/64x64/20641.png,https://coinmarketcap.com/currencies/euro-coin/
499,GameFi.org,GAFI,$6.60,"$34,095,677",1.02%,21.18%,24.07%,"$602,108","90,880 GAFI","5,162,802 GAFI",https://s2.coinmarketcap.com/static/img/coins/64x64/11783.png,https://coinmarketcap.com/currencies/gamefi/
500,Keep3rV1,KP3R,$80.26,"$34,123,327",0.35%,1.39%,0.49%,"$2,061,783","25,690 KP3R","425,178 KP3R",https://s2.coinmarketcap.com/static/img/coins/64x64/7535.png,https://coinmarketcap.com/currencies/keep3rv1/
501,GameFi.org,GAFI,$6.60,"$34,095,677",1.02%,21.18%,24.07%,"$602,108","91,149 GAFI","5,162,802 GAFI",https://s2.coinmarketcap.com/static/img/coins/64x64/11783.png,https://coinmarketcap.com/currencies/gamefi/
502,Steem Dollars,SBD,$2.80,"$33,823,402",0.17%,1.42%,0.29%,"$1,191,696","425,231 SBD","12,069,248 SBD",https://s2.coinmarketcap.com/static/img/coins/64x64/1312.png,https://coinmarketcap.com/currencies/steem-dollars/
503,BENQI,QI,$0.009615,"$33,825,151",0.24%,4.99%,4.87%,"$2,929,932","304,720,825 QI","3,514,975,347 QI",https://s2.coinmarketcap.com/static/img/coins/64x64/9288.png,https://coinmarketcap.com/currencies/benqi/
504,AhaToken,AHT,$0.009212,"$33,751,607",0.49%,1.51%,5.53%,"$7,157,482","776,996,091 AHT","3,664,020,266 AHT",https://s2.coinmarketcap.com/static/img/coins/64x64/6641.png,https://coinmarketcap.com/currencies/ahatoken/
505,Bitcoin Diamond,BCD,$0.1778,"$33,158,346",0.16%,2.53%,0.39%,"$121,537","683,652 BCD","186,492,898 BCD",https://s2.coinmarketcap.com/static/img/coins/64x64/2222.png,https://coinmarketcap.com/currencies/bitcoin-diamond/
506,Venus USDT,vUSDT,$0.02218,"$32,968,319",0.01%,0.01%,0.11%,"$30,212,039","1,362,180,578 VUSDT","1,486,153,169 vUSDT",https://s2.coinmarketcap.com/static/img/coins/64x64/7957.png,https://coinmarketcap.com/currencies/venus-usdt/
507,Syntropy,NOIA,$0.04931,"$32,970,133",1.95%,0.05%,2.03%,"$546,530","11,084,388 NOIA","668,503,028 NOIA",https://s2.coinmarketcap.com/static/img/coins/64x64/4191.png,https://coinmarketcap.com/currencies/syntropy/
508,Defigram,DFG,$3.29,"$32,901,283",0.08%,86.95%,87.18%,"$2,018",613 DFG,"10,000,000 DFG",https://s2.coinmarketcap.com/static/img/coins/64x64/19590.png,https://coinmarketcap.com/currencies/defigram/
509,Gelato,GEL,$0.3024,"$32,905,673",0.18%,0.01%,0.51%,"$185,962","gel614,880","108,775,713 GEL",https://s2.coinmarketcap.com/static/img/coins/64x64/7229.png,https://coinmarketcap.com/currencies/gelato/
510,Sentinel Protocol,UPP,$0.07135,"$32,810,334",0.09%,2.76%,2.33%,"$1,432,958","20,082,598 UPP","459,834,811 UPP",https://s2.coinmarketcap.com/static/img/coins/64x64/2866.png,https://coinmarketcap.com/currencies/sentinel-protocol/
511,BarnBridge,BOND,$4.14,"$32,777,080",0.23%,0.50%,0.63%,"$2,444,591","589,829 BOND","7,910,262 BOND",https://s2.coinmarketcap.com/static/img/coins/64x64/7440.png,https://coinmarketcap.com/currencies/barnbridge/
512,TokenPocket,TPT,$0.009451,"$32,759,713",0.16%,2.14%,7.25%,"$117,879","12,472,074 TPT","3,466,457,400 TPT",https://s2.coinmarketcap.com/static/img/coins/64x64/5947.png,https://coinmarketcap.com/currencies/tokenpocket/
513,Refereum,RFR,$0.006529,"$32,600,132",0.25%,2.51%,3.37%,"$2,890,275","442,704,437 RFR","4,999,180,100 RFR",https://s2.coinmarketcap.com/static/img/coins/64x64/2553.png,https://coinmarketcap.com/currencies/refereum/
514,Tranchess,CHESS,$0.278,"$32,523,078",0.05%,7.65%,1.34%,"$7,113,148","25,585,972 CHESS","117,210,099 CHESS",https://s2.coinmarketcap.com/static/img/coins/64x64/10974.png,https://coinmarketcap.com/currencies/tranchess/
515,Ethernity,ERN,$1.86,"$32,598,128",0.21%,3.30%,1.77%,"$2,541,939","1,368,210 ERN","17,538,869 ERN",https://s2.coinmarketcap.com/static/img/coins/64x64/8615.png,https://coinmarketcap.com/currencies/ethernity-chain/
516,ASD,ASD,$0.04931,"$32,551,572",0.19%,2.05%,5.20%,"$4,321,802","87,637,032 ASD","660,615,274 ASD",https://s2.coinmarketcap.com/static/img/coins/64x64/3673.png,https://coinmarketcap.com/currencies/bitmax-token/
517,Yield App,YLD,$0.1571,"$32,327,178",0.93%,2.85%,6.54%,"$442,514","2,816,369 YLD","205,717,318 YLD",https://s2.coinmarketcap.com/static/img/coins/64x64/8066.png,https://coinmarketcap.com/currencies/yield-app/
518,Hourglass,WAIT,$0.3286,"$32,197,972",0.20%,13.85%,0.67%,"$287,989","876,405 WAIT","97,959,725 WAIT",https://s2.coinmarketcap.com/static/img/coins/64x64/21997.png,https://coinmarketcap.com/currencies/hourglass/
519,Star Atlas,ATLAS,$0.00328,"$32,194,363",0.69%,0.28%,1.88%,"$1,268,588","386,779,171 ATLAS","9,803,356,511 ATLAS",https://s2.coinmarketcap.com/static/img/coins/64x64/11212.png,https://coinmarketcap.com/currencies/star-atlas/
520,LeverFi,LEVER,$0.002089,"$32,135,119",0.64%,3.68%,10.24%,"$5,074,014","2,428,973,774 LEVER","15,388,440,630 LEVER",https://s2.coinmarketcap.com/static/img/coins/64x64/20873.png,https://coinmarketcap.com/currencies/lever/
521,MonaCoin,MONA,$0.488,"$32,046,431",0.61%,1.74%,2.76%,"$100,633","206,212 MONA","65,729,675 MONA",https://s2.coinmarketcap.com/static/img/coins/64x64/213.png,https://coinmarketcap.com/currencies/monacoin/
522,Travala.com,AVA,$0.6114,"$31,947,537",0.49%,1.28%,1.65%,"$1,652,764","2,703,321 AVA","52,229,209 AVA",https://s2.coinmarketcap.com/static/img/coins/64x64/2776.png,https://coinmarketcap.com/currencies/travala/
523,BABB,BAX,$0.0006332,"$31,573,541",1.76%,8.02%,12.11%,"$1,355,295","2,140,304,323 BAX","49,853,700,000 BAX",https://s2.coinmarketcap.com/static/img/coins/64x64/2572.png,https://coinmarketcap.com/currencies/babb/
524,Orion Protocol,ORN,$0.9171,"$31,262,081",0.17%,0.79%,0.20%,"$3,360,070","3,663,687 ORN","34,146,255 ORN",https://s2.coinmarketcap.com/static/img/coins/64x64/5631.png,https://coinmarketcap.com/currencies/orion-protocol/
